achieve	xC-i-v-
glazier	gleZ--R
glockenspiel	glak-xnSpi-l
goalie	go-li-
goldfield	goldfi-ld
gondolier	gandxlI-r
gradient	gredixnt
grazier	greZ--R
grenadier	grEnxdI-r
grief	gri-f
grievance	gri-vxns-
grieve	gri-v-
grievous	gri-vx-s
hacienda	hasiEndx
handkerchief	h@G-k-RC-x-f
harrier	h@r-i-R
hie	hA-
hierarchical	hAxrark-Ik-L
hierarchy	hAxrark-i
hieroglyphic	hAxrxglIf-Ik
hierophant	hAxrxf-@nt
hosiery	hoZx-ri
hygiene	hAJi-n-
hygienic	hAJiEnIk
hygienist	hAJi-nxst
impatience	ImpeSx-ns-
impatient	ImpeSx-nt
impiety	ImpAxti
impropriety	ImprxprAxti
inalienability	InelyxnxbIlxti
inalienable	InelyxnxbL-
inalienably	Inelyxnxbli
incipient	InsIpixnt
inconvenience	Inkxnvinyxns-
inefficient	Inxf-ISx-nt
inexperience	InIXpIrixns-
infield	Infi-ld
ingredient	Ingridixnt
inpatient	InpeSx-nt
inquietude	InkwAxtYd-
insentient	InsEnCixnt
insufficient	Insxf-ISx-nt
interview	Int-RvY--
irretrievable	Ir-Itri-vxbL-
jalousie	J@lx-si-
jardiniere	Jard-NI-r-
kerchief	k-RC-x-f
laddie	l@d-i-
lavalliere	lavxl-I-r-
lenient	linixnt
lie	lA-
lied	li-t
lieder	li-d-R
lief	li-v
liege	li-J-
lien	li-n
lieu	l--u
lieutenant	l--utEnxnt
lingerie	lanJxr-e
magnifier	m@gnxfA-R
magpie	m@gpA-
mantelpiece	m@nt-Lpi-s-
masterpiece	m@st-Rpi-s-
materiel	mxtIriEl
menagerie	mxn@Jxri-
metier	metye-
mien	mi-n
milieu	milyx-
millieme	mil-yEm-
misbeliever	mIsbxli-v-R
mischief	mIsC-x-f
mischievous	mIsC-x-vx-s
modifier	madxfA-R
moiety	mO-xti
monsieur	mx-S-y-R
mouthpiece	mW-T-pi-s-
movie	muvi-
neckerchief	nEk--RC-x-f
niece	ni-s-
notoriety	notxrAxti
nutrient	nYtrixnt
obedient	obidixnt
omniscient	amnIS-x-nt
organdie	crgxndi-
oriel	ori-L
orient	oriEnt
oriental	oriEnt-L
orientation	orixnteS-xn
osier	oZ--R
oubliette	u-bliEt--
outfield	W-tfi-ld
outpatient	W-tpeSx-nt
pacifier	p@sxfA-R
pannier	p@n-y-R
parietal	pxrAxt-L
patience	peSx-ns-
pennies	pEn-i-z
percipient	p-RsIpixnt
pie	pA-
piebald	pA-bcld
piece	pi-s-
piecemeal	pi-s-mi-l
pied	pA-d
pieplant	pA-pl@nt
pier	pI-r
pierce	pI-rs-
piety	pAxti
pimiento	pxmyEnto
pliers	plA-Rz
portiere	portiEr-
prairie	prE-ri-
premier	prImyIr
premiere	prImyEr-
preoccupied	priak-YpA-d
prescience	priS-ixns-
preview	privY--
priest	pri-st
proficient	prxfISx-nt
propertied	prap-Rti-d
proprietary	prxprAxtEri
proprietor	prxprAxt-R
propriety	prxprAxti
provenience	prxvinyxns-
prurient	prUrixnt
purifier	pYrxfA-R
purlieu	p-RlY--
purview	p-RvY--
quickie	kwIk-i-
quiescent	kwAEs--Nt
quiet	kwAxt
quietude	kwAxtYd-
quietus	kwAitxs
quotient	kwoSx-nt
rabies	rebi-z
ramie	r@mi-
rapier	repi-R
recipient	rIsIpixnt
rectifier	rEktxfA-R
relief	rIli-f
relieve	rIli-v-
reprieve	rIpri-v-
requiem	rEkwixm
resilient	rIzIlyxnt
retrieve	rItri-v-
review	rIvY--
riel	riEl
rookie	rU-ki-
salient	selIxnt
sapient	sepixnt
satiety	sxtAxti
science	s-Axns-
scientific	s-AxntIfIk
scientist	s-Axntxst
sentient	sEnCixnt
series	sIri-z
serried	sEr-i-d
shield	S-i-ld
shriek	S-ri-k
sidepiece	sAd-pi-s-
siege	si-J-
sierra	siEr-x
siesta	siEstx
sieve	sI-v-
sobriety	sxbrAxti
society	sxsAxti
soldier	solJ--R
sortie	scrti-
soviet	soviEt
spaniel	sp@nyxl
specie	spiSi-
species	spiSi-z
storied	stori-d
studied	st^di-d
stymie	stAmi-
subservience	sxbs-Rvixns-
sufficiency	sxf-ISx-nsi
sundries	s^ndri-z
teleview	tElxvY--
terrier	tEr-i-R
thief	T-i-f
thieve	T-i-v-
thievery	T-i-vxri
thieves	T-i-v-z
tie	tA-
tier	tI-r
timepiece	tAm-pi-s-
tragedienne	trxJidiEn--
transient	tr@nCx-nt
tried	trA-d
triennial	trAEn-i-L
unaccompanied	xnxk-^mpxni-d
unalienable	^nelyxnxbL-
unbelief	xnbxli-f
undies	^ndi-z
unfriendly	^nfr-Endli
unoccupied	^nak-YpA-d
unscientific	xns-AxntIfIk
untie	^ntA-
valenciennes	vxlEnsiEn--z
varied	vEri-d
variegate	vErixget-
variegation	vErixgeS-xn
varietal	vxrAxt-L
variety	vxrAxti
vernier	v-Rni-R
vie	vA-
vier	vA-R
vietnamese	viEtnxmiz-
view	vY--
viewpoint	vY--pO-nt
vilifier	vIlxfA-R
vivifier	vIvxfA-R
vizier	vxzI-r
wield	wi-ld
wiener	wi-n-R
willies	wIl-i-z
windshield	wIndS-i-ld
yield	yi-ld
zombie	zambi-
zwieback	swi-b@k-
